11,Class 1,ethan.n@allinone.com,15,0,,,,
11,Class 2,logan_chew@allinone.com,15,0,,,,
5,Class 1,alexis.tan@allinone.com,15,0,,,,
5,Class 2,william_tan@allinone.com,15,0,,,,
5,Class 3,alexis.tan@allinone.com,15,0,,,,
3,Class 1,ethan.n@allinone.com,15,0,,,,
4,Class 1,xin.chua@allinone.com,15,0,,,,
2,Class 1,jackson.s@allinone.com,15,0,,,,
1,Class 1,william_tan@allinone.com,15,3,2021-10-00 00:00:00,2021-10-00 00:00:00,2021-09-01 12:00:00,2021-10-15 11:59:00
1,Class 2,alexis.tan@allinone.com,15,0,,,,
1,Class 3,henry.q@allinone.com,15,0,,,,
